Segment,Kilometers_Driven,Mileage,Engine,Power,Seats,price
non-luxury segment,34212,22.07,1199,73.9,5,10.15
luxury segment,37542,15.73,1968,174.33,5,44.8
non-luxury segment,58005,14.9,1991,112.2,5,21.77
non-luxury segment,62000,19.01,1461,108.45,5,15.05
luxury segment,13648,17.11,1968,174.33,5,53.14
luxury segment,56000,16.73,2993,218.0,5,67.87
non-luxury segment,50075,24.3,1248,88.5,5,11.12
non-luxury segment,51920,16.8,1497,116.3,5,13.58
luxury segment,48214,17.11,1968,174.33,5,53.14
non-luxury segment,66000,17.0,1197,80.0,5,10.25
luxury segment,40670,15.2,1968,140.8,5,53.14
luxury segment,44000,12.7,2179,187.7,5,120.0
non-luxury segment,86999,23.08,1461,63.1,5,9.47
luxury segment,15369,0.0,1950,194.0,5,49.14
luxury segment,78500,14.84,2143,167.62,5,49.49
non-luxury segment,73745,17.0,1086,74.0,5,4.55
luxury segment,44965,19.27,2143,170.0,5,49.49
non-luxury segment,102000,17.0,1086,74.0,5,4.55
luxury segment,29000,17.9,2143,201.15,5,79.43
non-luxury segment,39882,19.15,1198,75.94,5,9.51
luxury segment,31652,17.68,1968,174.33,5,67.1
non-luxury segment,55000,24.3,1248,88.5,5,9.96
non-luxury segment,62000,22.07,1199,73.9,5,10.15
non-luxury segment,110000,13.5,2477,175.56,7,32.01
non-luxury segment,35487,18.5,1197,82.9,5,10.25
luxury segment,55985,13.53,1984,177.01,5,67.1
non-luxury segment,52000,22.9,1248,74.0,5,7.88
luxury segment,56451,13.5,2987,282.0,5,49.49
non-luxury segment,40000,22.32,1582,126.32,5,14.255
luxury segment,53753,15.0,2143,107.3,5,37.03
non-luxury segment,22000,13.68,2393,147.8,8,19.34
luxury segment,73000,8.5,4806,500.0,5,136.0
luxury segment,82002,17.05,1995,184.0,5,48.18
non-luxury segment,75800,16.55,2498,105.0,6,11.39
luxury segment,32982,22.69,1995,190.0,5,47.87
non-luxury segment,88578,13.5,1799,130.0,5,13.58
non-luxury segment,72000,11.18,2696,184.0,7,18.865
luxury segment,31821,20.58,1995,143.0,5,55.07
non-luxury segment,43874,18.9,998,67.1,5,5.51
non-luxury segment,94385,19.7,796,46.3,5,4.36
non-luxury segment,46000,18.2,1199,88.7,5,8.61
non-luxury segment,58000,15.1,2179,140.0,7,18.865
non-luxury segment,39000,15.04,1598,103.2,5,13.23
luxury segment,9000,13.5,1999,246.74,5,53.72
luxury segment,79271,20.38,1968,143.0,5,42.89
non-luxury segment,32851,19.83,1198,67.0,7,6.45
luxury segment,55980,19.27,2143,167.62,5,49.49
non-luxury segment,46374,14.62,1999,149.92,5,23.64
luxury segment,89616,16.07,1995,181.0,5,54.43
non-luxury segment,111111,17.8,1399,132.0,5,11.685
non-luxury segment,37430,17.5,1199,88.7,5,10.57
luxury segment,23000,11.05,2894,444.0,4,128.0
non-luxury segment,32684,21.9,624,37.48,4,7.63
non-luxury segment,19698,25.4,624,37.5,4,7.63
non-luxury segment,64424,25.2,1248,74.0,5,7.88
luxury segment,34990,12.7,2179,187.7,5,120.0
luxury segment,29161,19.27,2143,167.62,5,49.49
non-luxury segment,36000,11.36,2755,171.5,8,21.0
non-luxury segment,55431,16.09,1598,103.5,5,12.33
luxury segment,35000,12.4,2698,179.5,5,67.1
non-luxury segment,75000,21.1,814,55.2,5,10.25
non-luxury segment,90000,19.7,796,46.3,5,4.36
luxury segment,48000,21.76,1995,190.0,5,60.88
luxury segment,29000,14.8,1595,120.7,5,37.03
non-luxury segment,88500,24.07,998,67.1,5,4.53
luxury segment,35277,7.81,5461,362.9,5,49.49
non-luxury segment,60000,16.8,1497,116.3,5,13.58
non-luxury segment,230000,12.4,1998,132.0,8,24.01
non-luxury segment,12000,19.0,1199,88.7,5,9.6
luxury segment,41000,15.3,2993,258.0,5,55.07
luxury segment,11287,12.07,2967,241.4,7,101.96
non-luxury segment,72000,26.6,998,58.16,5,5.51
luxury segment,95649,12.7,2179,187.7,5,120.0
luxury segment,37382,13.0,2143,201.1,5,86.97
non-luxury segment,52000,17.8,1497,117.3,5,13.58
luxury segment,58000,11.74,1796,186.0,5,49.49
non-luxury segment,87591,0.0,1086,74.0,5,4.55
non-luxury segment,65650,28.4,1248,74.0,5,7.88
luxury segment,29819,11.57,2987,254.79,5,95.13
non-luxury segment,83816,14.0,1061,64.0,5,5.51
non-luxury segment,75000,24.4,1120,71.0,5,8.23
non-luxury segment,30232,21.1,1197,85.8,5,7.88
luxury segment,64103,15.73,1968,174.33,5,44.8
luxury segment,37245,14.8,1595,120.7,5,37.03
non-luxury segment,87615,14.53,1798,138.1,5,21.085
non-luxury segment,262000,12.8,2494,102.0,7,24.01
luxury segment,59364,14.21,2143,203.0,5,86.97
luxury segment,23550,19.27,2143,167.62,5,49.49
non-luxury segment,62000,18.9,998,67.1,5,5.51
non-luxury segment,70704,11.25,2694,163.7,7,18.64
luxury segment,77771,19.27,2143,170.0,5,49.49
non-luxury segment,16542,25.17,799,53.3,5,4.78
non-luxury segment,71088,13.5,1799,130.0,5,13.58
luxury segment,36091,12.7,2179,187.7,5,120.0
non-luxury segment,53000,17.8,1248,75.0,5,7.88
luxury segment,13372,19.0,2996,362.07,2,95.04
non-luxury segment,87000,20.77,1248,88.76,7,11.27
non-luxury segment,55000,21.21,1498,103.2,5,13.23
non-luxury segment,178000,25.0,1396,69.0,5,7.63
luxury segment,56087,22.69,1995,190.0,5,54.43
luxury segment,90000,11.0,2993,235.0,5,55.07
luxury segment,21000,19.33,1999,177.0,5,72.64
luxury segment,41380,14.8,1595,120.7,5,37.03
non-luxury segment,121812,13.29,1995,147.6,5,11.33
non-luxury segment,70002,16.2,1493,110.0,5,14.255
non-luxury segment,22033,25.32,1198,77.0,6,7.88
non-luxury segment,64430,20.54,1598,103.6,5,13.23
non-luxury segment,12645,17.0,1591,121.3,5,13.49
non-luxury segment,30000,11.36,2755,171.5,7,27.0
non-luxury segment,78958,23.0,1396,90.0,5,10.25
luxury segment,97430,14.75,2967,245.0,7,104.0
luxury segment,99000,12.07,2967,241.4,7,101.96
non-luxury segment,65000,16.0,2179,140.0,7,18.865
non-luxury segment,65932,22.3,1248,74.0,5,7.63
non-luxury segment,58950,25.8,1498,98.6,5,8.54
non-luxury segment,56066,19.64,1461,108.5,5,16.65
luxury segment,48000,17.9,2143,136.0,5,41.94
luxury segment,30000,14.94,2967,241.4,5,53.14
non-luxury segment,45807,18.5,1197,80.0,5,10.25
non-luxury segment,16000,18.9,1197,82.0,5,7.45
luxury segment,30000,9.52,2993,313.0,4,55.07
luxury segment,32700,23.3,1984,150.0,5,37.9
luxury segment,64000,18.48,1995,177.0,5,67.87
luxury segment,25000,15.8,2148,170.0,5,49.49
non-luxury segment,104000,12.8,2494,102.0,7,24.01
non-luxury segment,63000,16.4,1497,78.0,5,13.58
non-luxury segment,54000,16.0,2179,140.0,7,18.865
non-luxury segment,39300,18.2,998,67.1,5,7.88
luxury segment,75000,14.74,2993,270.9,5,69.675
non-luxury segment,45178,16.95,1197,78.9,5,10.25
non-luxury segment,32000,20.36,1197,78.9,5,10.25
non-luxury segment,53000,17.71,1197,78.9,5,6.41
non-luxury segment,54000,20.92,998,67.1,5,4.36
non-luxury segment,55729,15.1,2179,140.0,7,18.865
luxury segment,26327,16.82,1998,189.08,4,44.28
luxury segment,56000,12.7,2179,187.7,5,120.0
luxury segment,75000,16.73,1995,218.0,5,67.87
non-luxury segment,52001,14.28,1798,138.03,5,21.085
luxury segment,30500,11.74,1796,186.0,5,49.49
luxury segment,85001,12.0,2987,224.0,7,49.49
non-luxury segment,41000,19.67,1582,126.2,5,16.06
non-luxury segment,72000,20.0,1399,68.0,5,7.65
luxury segment,62500,17.68,1968,174.33,5,67.1
luxury segment,48367,17.68,1968,174.33,5,67.1
luxury segment,40000,17.68,1968,174.33,5,67.1
non-luxury segment,89900,26.6,998,58.16,5,5.51
non-luxury segment,10250,22.0,1582,126.2,5,14.44
luxury segment,85000,0.0,2179,115.0,5,120.0
non-luxury segment,93850,14.0,796,35.0,5,7.88
non-luxury segment,18949,17.8,1198,86.7,5,8.54
luxury segment,85000,11.74,2987,254.8,5,49.49
luxury segment,35299,14.84,2143,170.0,5,49.49
non-luxury segment,54000,23.08,1461,63.1,5,9.47
luxury segment,20000,18.86,1598,122.0,4,42.12
non-luxury segment,95980,20.36,1197,78.9,5,10.25
non-luxury segment,44285,20.73,1373,91.1,5,11.11
non-luxury segment,25000,28.4,1248,74.0,5,7.88
non-luxury segment,38053,15.1,1196,73.0,5,5.13
luxury segment,8350,13.8,1998,192.0,5,44.59
non-luxury segment,42000,12.05,2179,120.0,8,18.865
